ad_id,title,product_id,seller_id,availability,bids_allowed,price,created_at
24,Qui et praesentium repellat vero. Consequuntur laboriosam adipisci. Voluptatibus odio dicta.,18,193,True,True,420000000,2020-11-08 13:25:26
25,"Quam voluptatem repellat iusto. Unde dolor similique quod saepe. Porro quis pariatur eum.
Dolores id fuga praesentium doloribus unde nam. Occaecati ullam laudantium.",48,123,True,False,670000000,2021-10-17 07:17:26
26,"Quia saepe delectus consequatur quisquam.
Repellat cupiditate quidem animi atque dolorum. Numquam illo minus placeat soluta delectus.",43,120,False,False,150000000,2020-10-09 13:45:10
27,Hic nisi perspiciatis quod iste omnis. Assumenda quae incidunt voluptatum minus voluptatem.,37,194,False,True,220000000,2021-04-16 12:39:14
28,"Saepe doloribus vitae non. Suscipit ullam repudiandae voluptatem corporis. Nisi a ab.
Optio dicta aliquam esse voluptatum. Aliquid aut excepturi quasi inventore nostrum.",40,165,False,True,650000000,2021-09-14 06:48:24
29,"Consectetur amet minima corporis dignissimos quaerat alias. Dicta recusandae repellat voluptates eos error.
At at quam debitis cumque. Assumenda aliquam veniam ab magnam error.",9,104,True,False,240000000,2020-04-11 12:59:13
30,Eaque quod saepe perspiciatis quasi. Enim nam libero laboriosam. Quidem necessitatibus doloribus porro quasi architecto.,26,156,True,True,600000000,2020-07-16 03:32:16
31,Nisi blanditiis doloremque a nostrum. Fugit officiis atque nemo esse adipisci. Autem minima corrupti nihil velit illo tenetur.,48,169,False,True,210000000,2022-03-11 13:46:47
32,Laudantium a quas veniam maiores.,6,27,True,False,290000000,2020-07-09 12:32:32
33,Enim fugiat incidunt occaecati vel provident officiis. Quaerat distinctio fugiat at. Voluptas fuga temporibus.,4,106,True,False,480000000,2022-09-02 04:48:32
34,"Nisi quo sunt veniam inventore ipsum dolor. Inventore eum ipsum consectetur magnam maiores magni adipisci.
Omnis iusto commodi voluptate. Saepe eos totam expedita iusto odio.",27,71,True,True,310000000,2022-12-28 15:21:51
35,"Soluta excepturi iusto perspiciatis. Eum rerum vitae temporibus cumque officiis vitae aperiam. Facilis sed ex aperiam fugit.
Voluptates nulla enim odit dolorum. Quaerat quasi placeat soluta deleniti.",41,34,False,False,470000000,2022-12-30 19:44:33
36,"Quisquam sequi nihil. Culpa sunt temporibus asperiores dicta officia necessitatibus. Aspernatur ipsa at laborum. Iure voluptate ex quae.
Deleniti ad omnis.",6,194,True,False,590000000,2021-10-21 07:22:36
37,"Beatae veniam error excepturi beatae quam enim.
Hic error ex expedita.
Vero perspiciatis nostrum autem facere. Fugiat nisi illum nobis. Quo deleniti expedita.",43,131,False,False,270000000,2021-07-10 01:01:26
38,"Temporibus beatae laboriosam expedita cum. Enim tenetur vel aperiam dolore. Culpa ad voluptatem nemo minus dolor dolores.
Optio quas nostrum quod perspiciatis alias. Possimus blanditiis cumque.",46,28,False,False,620000000,2021-04-16 06:53:34
39,"Illum ipsa cumque commodi quo temporibus quae. Nulla alias autem et quae.
Dolorem cum accusamus voluptatum inventore.",9,61,False,False,320000000,2022-04-11 03:53:44
40,Veniam quidem dolor voluptatibus commodi. Accusantium commodi odit id ipsam ipsa facilis. Iure officia deleniti itaque perferendis accusamus. Est earum deserunt eveniet explicabo consequatur.,24,110,True,False,110000000,2021-12-06 18:24:00
41,Nesciunt fugit quaerat. Eius reprehenderit molestiae modi adipisci ea.,14,97,False,True,570000000,2021-09-26 13:35:12
42,Et saepe ipsum fuga quam consectetur. Aut alias eligendi nihil. Laboriosam occaecati officiis voluptatum quibusdam sequi nemo.,40,105,False,False,650000000,2021-03-04 23:48:37
43,Repellat illo aperiam pariatur aliquid. Repellat totam quia earum culpa asperiores earum. Eum non dicta aperiam itaque facere porro.,30,135,False,False,660000000,2022-02-25 10:51:22
44,"Occaecati suscipit occaecati eveniet illo. Deserunt fuga molestias.
Beatae eaque nisi magni. Eius mollitia pariatur sit fugit porro adipisci. Repellat eos natus repellendus.",21,5,False,False,310000000,2020-11-08 14:18:51
45,Cupiditate molestiae iure incidunt. Error suscipit velit dolorum earum quaerat eius. Iure esse voluptatibus magni a asperiores odit.,4,22,False,True,570000000,2021-10-23 18:13:40
46,"Vel omnis officia repellendus.
Quo saepe dignissimos labore rem. In quae architecto ducimus reprehenderit tempora in. Eveniet tempora est temporibus.",2,164,False,False,100000000,2022-03-20 02:12:59
47,Vero incidunt rerum debitis perferendis itaque. Perferendis nesciunt eius deleniti.,10,157,False,True,120000000,2020-04-24 04:20:36
48,Aspernatur accusamus vitae possimus distinctio. Ad ea sapiente. Facere adipisci occaecati ea mollitia reprehenderit.,49,171,True,False,410000000,2020-08-28 19:36:04
49,"Facilis alias eveniet dignissimos labore et delectus architecto. Quaerat repudiandae consectetur nostrum distinctio.
Cum deserunt deleniti earum maiores recusandae. Sed ad deleniti deleniti nam.",24,10,True,True,250000000,2021-12-14 07:40:25
50,"Animi eius alias odio aperiam veniam non. Numquam velit sit rem.
Officia vero sint. Quaerat distinctio mollitia voluptatibus est unde. Beatae magni voluptate deserunt maxime rerum pariatur.",36,134,True,True,550000000,2020-03-04 01:01:27
51,Illo beatae repudiandae praesentium unde molestias porro facere. Quisquam perferendis accusantium aliquam possimus consectetur.,35,124,False,False,760000000,2021-02-04 03:12:25
52,Et perspiciatis optio perspiciatis molestias aut. Hic quidem aliquid illum molestiae ea eos soluta. Voluptatibus accusantium totam molestias rem. Laborum hic eaque neque atque.,34,109,True,False,560000000,2023-04-10 16:19:11
53,Hic esse cum sit facere aut. Unde fugiat architecto inventore inventore nostrum minus. Repellendus quia ea eius exercitationem distinctio est repudiandae.,3,65,False,False,630000000,2022-08-19 06:01:44
54,Sed impedit accusamus rerum praesentium eaque error. Culpa eligendi et.,50,34,True,True,650000000,2020-11-23 09:45:55
55,"Omnis rem necessitatibus veritatis libero facere.
Voluptatibus voluptatibus eius magni quae repudiandae. Iusto dignissimos alias exercitationem culpa.",28,151,False,True,790000000,2023-03-05 16:24:26
56,Ex nihil ducimus sit blanditiis perferendis. Dignissimos dignissimos assumenda explicabo id.,3,37,False,False,130000000,2020-05-24 19:10:13
57,"Iure corrupti dicta reiciendis nemo et.
Vero accusamus possimus necessitatibus. Esse iste vitae iusto. Voluptate eveniet mollitia earum rerum nobis.",32,161,False,True,580000000,2022-06-18 03:21:57
58,Consequatur quasi quo perspiciatis. Esse voluptas debitis. Aliquam minima repellendus veritatis. Aspernatur harum totam dignissimos.,30,156,False,True,590000000,2021-05-25 12:10:30
59,Tempore eveniet quasi ut dolores non. Natus provident tempore voluptates mollitia voluptatibus. Vero reprehenderit ullam repudiandae.,44,155,False,True,130000000,2022-06-07 10:58:18
60,"Nam laboriosam quae a nulla expedita. In voluptas culpa dicta porro. Ab iste ipsam animi nihil iusto porro.
Sunt explicabo voluptatem corporis at totam quasi.",17,74,False,False,470000000,2020-12-01 02:55:50
61,"Nihil vero hic pariatur. Dolores corporis blanditiis autem.
Quos voluptates voluptates. Incidunt illo perferendis distinctio occaecati.",15,31,True,False,760000000,2020-09-03 10:07:07
62,Beatae dignissimos sed quia. Omnis adipisci rerum sunt architecto reiciendis iure laboriosam. Rerum neque deleniti culpa numquam in provident.,10,76,True,False,100000000,2021-09-01 06:22:51
63,"Minus deserunt possimus impedit. Maxime suscipit officia ea tenetur consequatur.
Nisi nemo quibusdam reiciendis molestiae. Nisi provident sed ex aliquid natus iure.",20,161,True,False,750000000,2022-01-10 06:03:15
64,Magnam doloribus similique pariatur molestias odit soluta. Laboriosam natus perspiciatis consequuntur pariatur. Repellendus pariatur excepturi placeat eaque ullam laborum. Iusto doloribus eum illo.,42,20,True,False,670000000,2022-12-05 23:42:27
65,"Deleniti dicta autem autem vero rem. Dignissimos veniam maxime.
Nisi architecto quisquam maxime rem sint veritatis. Iusto tenetur ducimus.",7,12,False,True,710000000,2021-05-20 06:35:43
66,Aut expedita maiores nam beatae cum in. Ad sit vero dolorum ab.,37,47,True,True,690000000,2020-07-28 13:55:14
67,Quisquam expedita incidunt autem voluptate alias eveniet. Amet tempora eum a totam. Adipisci enim cumque error porro consequatur.,13,51,True,True,420000000,2022-10-07 09:07:08
68,"Nulla voluptatum eum. Tempore veniam maxime repellat voluptatum necessitatibus dolorem sunt.
Accusamus rerum magni dolorum. Ratione accusantium quisquam maiores et consectetur libero.",8,28,False,True,760000000,2021-08-01 09:47:56
69,Temporibus velit vitae. Odit vitae eveniet enim.,36,19,False,True,230000000,2021-05-23 08:21:28
70,"Ullam doloremque ex natus reprehenderit soluta molestiae est.
Ipsam at ipsa voluptate magni debitis ipsa sunt. Dolorum amet itaque iste aliquam quasi.",44,56,False,True,300000000,2022-03-05 06:29:06
71,"Sit adipisci amet ex sequi. Molestiae sapiente doloremque illo esse.
Inventore suscipit similique tenetur quia amet. Minima repellat dolores perspiciatis.",49,71,False,True,200000000,2020-05-01 19:31:23
72,Accusantium sunt eaque nobis commodi dolor voluptates natus. Quibusdam voluptate eveniet provident ipsum recusandae. Quia dicta incidunt incidunt doloremque sapiente eos.,16,176,False,False,740000000,2021-10-28 05:50:29
73,Perspiciatis quis asperiores possimus. Corrupti deserunt vel occaecati consequatur quis. Commodi magnam accusantium eum error.,3,7,False,True,640000000,2020-07-27 10:11:05
74,"Facere vel doloribus suscipit reprehenderit accusamus atque.
Alias ut neque non. Nemo perspiciatis rem nobis. Quod dolores facilis quas illo ipsa asperiores. Ratione velit consequuntur.",36,182,False,False,730000000,2022-02-12 18:16:38
75,Dolor beatae nulla incidunt. Porro aliquam officiis impedit modi dolore. Hic eligendi quae qui magnam commodi quos.,30,9,False,False,750000000,2022-04-27 11:48:12
76,Inventore numquam ea ducimus cum dolorum laborum illum. Natus dicta totam quo laborum delectus.,22,11,True,False,710000000,2022-02-15 23:54:58
77,Quos corrupti praesentium dolorum. Ad veritatis perferendis dolore pariatur iusto. Ab incidunt similique minima non suscipit. Necessitatibus illum magni asperiores rerum impedit earum.,34,16,False,False,330000000,2023-02-10 02:34:37
78,Tenetur totam explicabo recusandae illum provident. Aliquam vel dicta illo mollitia. Similique ratione inventore consequatur nobis temporibus possimus.,43,167,True,True,740000000,2022-04-04 20:59:59
79,"Officiis incidunt animi vero. Neque facere enim sit corrupti sequi quidem.
Consequuntur laudantium quisquam quidem commodi. Incidunt ex aut nostrum aliquam quae cum.",32,73,False,False,390000000,2023-01-21 10:50:36
80,Ducimus sequi autem voluptatibus asperiores. Delectus fugiat eaque.,26,14,False,False,760000000,2021-04-06 13:06:46
81,Cum voluptatum natus mollitia modi sint. Consequatur optio dolor nisi. Corporis assumenda voluptas officiis ratione explicabo.,21,149,True,False,410000000,2020-09-21 01:55:24
82,Ea eligendi quisquam occaecati molestiae sint. Aut repudiandae ullam laborum. Delectus omnis corporis illum nam.,46,46,True,True,120000000,2022-10-31 22:07:25
83,Quibusdam repudiandae pariatur libero facilis. Repellat dolorum sunt suscipit voluptas. Dignissimos natus saepe ullam corrupti consequatur in tempora.,22,122,True,True,520000000,2020-01-14 07:47:46
84,"Eaque modi quia labore autem ut. Nobis deserunt est ullam. Consequuntur voluptate sit dicta laudantium distinctio neque.
Magnam dolor ducimus. Tempora iusto minus quo.",4,148,False,True,310000000,2022-05-29 10:35:05
85,Similique natus repellendus quidem laudantium culpa. Repudiandae ipsa necessitatibus qui. Repellendus quisquam doloremque numquam natus recusandae mollitia. Tempora porro voluptas optio.,37,82,False,True,360000000,2022-10-25 19:08:16
86,"Similique a culpa similique deserunt aperiam. Rerum animi odio nobis. Veniam minus commodi.
Ea natus dolorum deserunt ullam. Explicabo omnis blanditiis. Perspiciatis incidunt voluptatibus laudantium.",41,200,True,True,260000000,2023-03-31 20:51:53
87,"Adipisci voluptatem harum provident dignissimos soluta consequuntur.
Qui atque vel unde voluptatibus quia. Atque eligendi ea beatae eos.",38,108,False,False,360000000,2021-06-09 13:54:28
88,Expedita sequi laborum odio maiores hic.,4,171,False,False,430000000,2022-05-08 17:31:51
89,"Explicabo commodi tempore totam. Cupiditate accusamus eius saepe facere quia consequatur ipsum.
Fugit qui ducimus harum explicabo sunt amet. Fuga animi minus repellat totam esse.",20,68,True,True,290000000,2022-09-24 06:36:28
90,"Maxime culpa nesciunt. Magnam ea iusto. Corporis laudantium nihil veritatis officia.
Magnam atque nihil repellendus optio quis rerum. Dolores sapiente ut omnis.",28,88,False,True,350000000,2022-04-03 21:42:10
91,"Maxime atque eveniet. Error placeat rem adipisci. Vero facilis consequatur dignissimos excepturi.
Pariatur eveniet quibusdam. Voluptatibus soluta ab corrupti.",19,42,True,True,320000000,2021-02-11 06:45:01
92,"Delectus aliquam eius debitis dicta.
Adipisci voluptatem reprehenderit architecto.
Dolore soluta quidem. Ipsum facilis totam non. Ab praesentium tempora adipisci repellendus deleniti.",47,166,True,True,800000000,2021-06-20 23:04:46
93,Harum voluptate velit est maxime ipsa est. Debitis quae vel voluptas ullam. Odit similique alias facilis dolorem fugit doloremque.,50,103,True,False,540000000,2021-01-11 20:40:50
94,Vel corrupti sunt. Architecto similique cupiditate autem nisi quidem. Soluta nihil eveniet ad eum accusamus dicta reprehenderit.,5,54,False,True,200000000,2022-09-14 02:37:16
95,Pariatur cupiditate facilis totam molestias mollitia aut occaecati. Facere adipisci officia assumenda consequatur explicabo. Molestiae tempora quis modi.,44,181,False,True,600000000,2022-08-30 09:45:03
96,"Error nemo incidunt quo. Quasi delectus ipsa excepturi perferendis aliquam.
Odio asperiores quidem tempore accusantium. Numquam enim in corrupti pariatur rerum reiciendis amet.",30,183,False,True,190000000,2020-07-05 14:13:50
97,"Hic hic earum quam sint fugit.
Saepe aperiam quae nisi. Commodi debitis eveniet ipsam.",47,23,True,False,740000000,2021-08-12 15:58:20
98,Vitae architecto quas veritatis veritatis nulla corporis. Cum quidem quaerat commodi at a. Sed recusandae doloremque exercitationem.,21,66,False,True,750000000,2020-10-27 06:37:23
99,Nemo sint illo quam. Officiis doloribus dolorem. A nemo a accusantium.,46,72,True,False,800000000,2020-06-06 08:02:45
100,Quos soluta quis consectetur rem. Rerum nulla quod rerum consequatur ea. Veritatis nemo est enim maiores fugit labore in. Ea deserunt unde.,25,120,False,False,340000000,2020-06-21 17:33:53
